2025-12-26 17:18:35 | INFO | src.api.main | 🚀 Starting Insurance IQ API...
2025-12-26 17:18:35 | INFO | src.api.main | 📦 Loading models...
2025-12-26 17:18:36 | INFO | src.api.main | ✅ All models loaded successfully!
2025-12-26 17:31:32 | INFO | src.api.main | Fraud prediction requested for claim: $50000.0
2025-12-26 17:31:32 | INFO | src.api.main | Prediction: legitimate | Probability: 13.00% | Risk: LOW | Time: 270.67ms
2025-12-26 17:31:52 | INFO | src.api.main | Fraud prediction requested for claim: $3000.0
2025-12-26 17:31:52 | INFO | src.api.main | Prediction: legitimate | Probability: 6.00% | Risk: LOW | Time: 36.14ms
2025-12-26 17:32:05 | INFO | src.api.main | Fraud prediction requested for claim: $20000.0
2025-12-26 17:32:05 | INFO | src.api.main | Prediction: legitimate | Probability: 2.00% | Risk: LOW | Time: 28.61ms
2025-12-26 17:32:28 | INFO | src.api.main | Metrics requested
2025-12-26 17:32:34 | INFO | src.api.main | Metrics requested
2025-12-26 18:24:01 | INFO | src.api.main | Root endpoint accessed
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2025-12-26 18:24:01 | INFO | src.api.main | Metrics requested
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-26 18:24:01 | INFO | src.api.main | Fraud prediction requested for claim: $15000.0
2025-12-26 18:24:01 | ERROR | src.api.main | Prediction failed: Model not loaded. Call load() first.
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 500 Internal Server Error"
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:24:01 | INFO | src.api.main | Fraud prediction requested for claim: $3000.0
2025-12-26 18:24:01 | ERROR | src.api.main | Prediction failed: Model not loaded. Call load() first.
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 500 Internal Server Error"
2025-12-26 18:24:01 | INFO | src.api.main | Metrics requested
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-26 18:24:01 | INFO | src.api.main | Fraud prediction requested for claim: $10000.0
2025-12-26 18:24:01 | ERROR | src.api.main | Prediction failed: Model not loaded. Call load() first.
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 500 Internal Server Error"
2025-12-26 18:24:01 | INFO | src.api.main | Metrics requested
2025-12-26 18:24:01 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Root endpoint accessed
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Metrics requested
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Fraud prediction requested for claim: $15000.0
2025-12-26 18:25:59 | INFO | src.api.main | Prediction: legitimate | Probability: 1.00% | Risk: LOW | Time: 7.51ms
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 422 Unprocessable Entity"
2025-12-26 18:25:59 | INFO | src.api.main | Fraud prediction requested for claim: $3000.0
2025-12-26 18:25:59 | INFO | src.api.main | Prediction: legitimate | Probability: 6.00% | Risk: LOW | Time: 3.25ms
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Metrics requested
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Fraud prediction requested for claim: $10000.0
2025-12-26 18:25:59 | INFO | src.api.main | Prediction: legitimate | Probability: 8.00% | Risk: LOW | Time: 3.22ms
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: POST http://testserver/predict/fraud "HTTP/1.1 200 OK"
2025-12-26 18:25:59 | INFO | src.api.main | Metrics requested
2025-12-26 18:25:59 | INFO | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2025-12-27 01:11:36 | INFO | src.api.main | 🚀 Starting Insurance IQ API...
2025-12-27 01:11:36 | INFO | src.api.main | 📦 Loading models...
2025-12-27 01:11:36 | INFO | src.api.main | ✅ All models loaded successfully!
2025-12-27 01:13:04 | INFO | src.api.main | Fraud explanation requested for claim: $50000.0
2025-12-27 01:13:04 | ERROR | src.api.main | Explanation failed: only length-1 arrays can be converted to Python scalars
2025-12-27 19:55:14 | INFO | src.api.main | 🚀 Starting Insurance IQ API...
2025-12-27 19:55:14 | INFO | src.api.main | 📦 Loading models...
2025-12-27 19:55:14 | INFO | src.api.main | ✅ All models loaded successfully!
2025-12-27 19:57:46 | INFO | src.api.main | Fraud explanation requested for claim: $50000.0
2025-12-27 19:57:46 | INFO | src.api.main | Prediction with explanation: legitimate | Probability: 13.00% | Time: 177.63ms
2025-12-29 15:15:18 | INFO | botocore.credentials | Found credentials in shared credentials file: ~/.aws/credentials
2025-12-29 15:15:18 | INFO | bedrock_service | BedrockService initialized
2025-12-29 15:15:18 | INFO | __main__ | 🚀 Starting Insurance IQ API...
2025-12-29 15:15:18 | INFO | __main__ | 📦 Loading models...
2025-12-29 15:15:18 | INFO | __main__ | ✅ All models loaded successfully!
